Refrence Series;Organism;Sample Id;Characteristic;Type;Experiment;Sample
GSE20489;Homo sapiens ;GSM514737;Blood_alcohol_T1_S13;Pert;Time;T1
GSE20489;Homo sapiens ;GSM514738;Blood_alcohol_T2_S13;Pert;Time;T2
GSE20489;Homo sapiens ;GSM514739;Blood_alcohol_T3_S13;Pert;Time;T3
GSE20489;Homo sapiens ;GSM514740;Blood_alcohol_T4_S13;Pert;Time;T4
GSE20489;Homo sapiens ;GSM514741;Blood_alcohol_T5_S13;Pert;Time;T5
GSE20489;Homo sapiens ;GSM514742;Blood_alcohol_T1_S15;Pert;Time;T1
GSE20489;Homo sapiens ;GSM514743;Blood_alcohol_T2_S15;Pert;Time;T2
GSE20489;Homo sapiens ;GSM514744;Blood_alcohol_T3_S15;Pert;Time;T3
GSE20489;Homo sapiens ;GSM514745;Blood_alcohol_T4_S15;Pert;Time;T4
GSE20489;Homo sapiens ;GSM514746;Blood_alcohol_T5_S15;Pert;Time;T5
GSE20489;Homo sapiens ;GSM514747;Blood_alcohol_T1_S17;Pert;Time;T1
GSE20489;Homo sapiens ;GSM514748;Blood_alcohol_T2_S17;Pert;Time;T2
GSE20489;Homo sapiens ;GSM514749;Blood_alcohol_T3_S17;Pert;Time;T3
GSE20489;Homo sapiens ;GSM514750;Blood_alcohol_T4_S17;Pert;Time;T4
GSE20489;Homo sapiens ;GSM514751;Blood_alcohol_T5_S17;Pert;Time;T5
GSE20489;Homo sapiens ;GSM514752;Blood_alcohol_T1_S18;Pert;Time;T1
GSE20489;Homo sapiens ;GSM514753;Blood_alcohol_T2_S18;Pert;Time;T2
GSE20489;Homo sapiens ;GSM514754;Blood_alcohol_T3_S18;Pert;Time;T3
GSE20489;Homo sapiens ;GSM514755;Blood_alcohol_T5_S18;Pert;Time;T5
GSE20489;Homo sapiens ;GSM514756;Blood_alcohol_T1_S19;Pert;Time;T1
GSE20489;Homo sapiens ;GSM514757;Blood_alcohol_T2_S19;Pert;Time;T2
GSE20489;Homo sapiens ;GSM514758;Blood_alcohol_T3_S19;Pert;Time;T3
GSE20489;Homo sapiens ;GSM514759;Blood_alcohol_T4_S19;Pert;Time;T4
GSE20489;Homo sapiens ;GSM514760;Blood_alcohol_T5_S19;Pert;Time;T5
GSE20489;Homo sapiens ;GSM514761;Blood_alcohol_T1_S8;Pert;Time;T1
GSE20489;Homo sapiens ;GSM514762;Blood_alcohol_T2_S8;Pert;Time;T2
GSE20489;Homo sapiens ;GSM514763;Blood_alcohol_T3_S8;Pert;Time;T3
GSE20489;Homo sapiens ;GSM514764;Blood_alcohol_T4_S8;Pert;Time;T4
GSE20489;Homo sapiens ;GSM514765;Blood_alcohol_T5_S8;Pert;Time;T5
GSE20489;Homo sapiens ;GSM514766;Blood_OJcontrol_T1_S51;control;Time;T1
GSE20489;Homo sapiens ;GSM514767;Blood_OJcontrol_T2_S51;control;Time;T2
GSE20489;Homo sapiens ;GSM514768;Blood_OJcontrol_T3_S51;control;Time;T3
GSE20489;Homo sapiens ;GSM514769;Blood_OJcontrol_T4_S51;control;Time;T4
GSE20489;Homo sapiens ;GSM514770;Blood_OJcontrol_T5_S51;control;Time;T5
GSE20489;Homo sapiens ;GSM514771;Blood_OJcontrol_T1_S52;control;Time;T1
GSE20489;Homo sapiens ;GSM514772;Blood_OJcontrol_T2_S52;control;Time;T2
GSE20489;Homo sapiens ;GSM514773;Blood_OJcontrol_T3_S52;control;Time;T3
GSE20489;Homo sapiens ;GSM514774;Blood_OJcontrol_T4_S52;control;Time;T4
GSE20489;Homo sapiens ;GSM514775;Blood_OJcontrol_T5_S52;control;Time;T5
GSE20489;Homo sapiens ;GSM514776;Blood_OJcontrol_T1_S53;control;Time;T1
GSE20489;Homo sapiens ;GSM514777;Blood_OJcontrol_T2_S53;control;Time;T2
GSE20489;Homo sapiens ;GSM514778;Blood_OJcontrol_T3_S53;control;Time;T3
GSE20489;Homo sapiens ;GSM514779;Blood_OJcontrol_T4_S53;control;Time;T4
GSE20489;Homo sapiens ;GSM514780;Blood_OJcontrol_T5_S53;control;Time;T5
GSE20489;Homo sapiens ;GSM514781;Blood_OJcontrol_T1_S54;control;Time;T1
GSE20489;Homo sapiens ;GSM514782;Blood_OJcontrol_T2_S54;control;Time;T2
GSE20489;Homo sapiens ;GSM514783;Blood_OJcontrol_T3_S54;control;Time;T3
GSE20489;Homo sapiens ;GSM514784;Blood_OJcontrol_T4_S54;control;Time;T4
GSE20489;Homo sapiens ;GSM514785;Blood_OJcontrol_T5_S54;control;Time;T5
GSE20489;Homo sapiens ;GSM514786;Blood_OJcontrol_T1_S56;control;Time;T1
GSE20489;Homo sapiens ;GSM514787;Blood_OJcontrol_T2_S56;control;Time;T2
GSE20489;Homo sapiens ;GSM514788;Blood_OJcontrol_T3_S56;control;Time;T3
GSE20489;Homo sapiens ;GSM514789;Blood_OJcontrol_T4_S56;control;Time;T4
GSE20489;Homo sapiens ;GSM514790;Blood_OJcontrol_T5_S56;control;Time;T5
