Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Experiment;Sample;Overall_Design
GSE90149;Homo sapiens;GSM2399744;mesenchymal stromal cell, bone marrow, patient BRD;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399745;mesenchymal stromal cell, bone marrow, patient LQ;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399746;mesenchymal stromal cell, bone marrow, patient WHR;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399747;mesenchymal stromal cell, bone marrow, patient GSK;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399748;mesenchymal stromal cell, bone marrow, patient SDK;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399749;mesenchymal stromal cell, bone marrow, patient BRM;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399750;mesenchymal stromal cell, bone marrow, patient HNC;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399751;mesenchymal stromal cell, bone marrow, patient BEH;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399752;mesenchymal stromal cell, bone marrow, patient ANB;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399753;mesenchymal stromal cell, bone marrow, patient SRF;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399754;mesenchymal stromal cell, bone marrow, patient KKG;No;Pert;A;1;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399755;mesenchymal stromal cells, fetal side of placenta patient no. 35;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
