Preferred Label;Synonyms
columnar neuron;columnar neuron
smooth muscle cell of the carotid artery;
pancreatic goblet cell;goblet cell of epithelium of pancreatic duct
protease localization to T cell secretory granule;
camera-type eye photoreceptor cell;camera type eye photoreceptor cell
basophilic cytoplasm;
multinucleate blastoconidium;
CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T-cell|CD4-positive, alpha-beta memory T lymphocyte|CD4-positive, alpha-beta memory T-lymphocyte|T4.Mem.Sp
microfold cell of epithelium proper of ileum;
killer cell lectin-like receptor 8;ly-49h|T-cell surface glycoprotein Ly-49H|lymphocyte antigen 49h|Klra8|Ly49H|Ly49-h
musculature of shoulder;set of muscles of shoulder|muscle group of shoulder
female germ cell;
vein of abdomen;abdominal vein
future telencephalon;presumptive telencephalon
microcirculatory vessel;microcirculatory vessels
stem cell of gastric gland;
acetylcholine secretion, neurotransmission;
prostaglandin production involved in inflammatory response;
musculature of leg;leg muscle system
fibroblast;
chordal neural plate;posterior neural plate
bone resorption;
thoracic segment of trunk;thorax|upper trunk|anterior subdivision of trunk|upper body
submucosa of cecum;caecum submucosa|cecum submucosa|intestinum crassum caecum submucosa|submucosa of caecum|submucosa of intestinum crassum caecum
CD34-positive, CD38-negative hematopoietic stem cell;CD133-positive hematopoietic stem cell
embryonic lymph sac;primary lymph sac
esophagus muscle;muscle organ of esophagus|oesophagus muscle organ|gullet muscle organ|muscle organ of gullet|esophagus muscle organ|esophageal muscle|muscle organ of oesophagus
Drosophila melanogaster;fruit fly|Drosophila melangaster
antigen processing and presentation of exogenous peptide antigen via MHC class I;
signal transducer CD24;lymphocyte antigen 52|CD24|ly-52|nectadrin|X62 heat stable antigen|HSA|M1/69-J11D heat stable antigen|small cell lung carcinoma cluster 4 antigen|R13-Ag|CD24A
acinus of lactiferous gland;lactiferous gland acinus
respiratory epithelial cell;airway epithelial cell
ileum;intestinum ileum|lower intestine|distal intestine|posterior intestine
lymphoid lineage restricted progenitor cell;lymphoid progenitor cell
Hensen cell;Hensen's cell|cell of Hensen|external limiting cell of organ of Corti
negative regulation of cell proliferation;
single nucleate cell;
outer medulla inner stripe loop of Henle;
forelimb stylopod;forelimb stylopodium|forelimb propodium|regio brachialis|stylopod of arm|forelimb stylopodial element|proximal segment of free upper limb|fore propodium|brachium|upper arm|stylopod of forelimb|brachial region|wing stylopod|arm
lymphocyte activation involved in immune response;
acinus of sebaceous gland;sebaceous gland acinus
presomitic mesoderm;unsegmented paraxial mesoderm|segmental plate|unsegmented mesenchyme|somitogenic mesoderm|somitomeric mesoderm|presumptive somite mesoderm|PSM
nerve fasciculus;fascicle|nerve fasciculus|neural fasciculus|fasciculus|nerve bundle|nerve fiber tract
