Acepromazine  ; CLORAZEPIC ACID  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; oxatomide  ;;;;;;;;;;;;;;;;;;;;;;
Allantoin  ; Sulfisoxazole  ;;;;;;;;;;;;;;;;;;;;;;
Allantoin  ; Sulfanilamide  ;;;;;;;;;;;;;;;;;;;;;;
Allantoin  ; Sulfanilamide  ;;;;;;;;;;;;;;;;;;;;;;
Aminophylline  ; Ephedrine sulfate  ;;;;;;;;;;;;;;;;;;;;;;
 HR Amphetamine aspartate  ; Dextroamphetamine saccharate  ;;;;;;;;;;;;;;;;;;;;;;
Amphetamine aspartate  ; Dextroamphetamine saccharate  ;;;;;;;;;;;;;;;;;;;;;;
Amphetamine aspartate  ; Dextroamphetamine saccharate  ;;;;;;;;;;;;;;;;;;;;;;
Amphetamine aspartate  ; Dextroamphetamine saccharate  ;;;;;;;;;;;;;;;;;;;;;;
Amphetamine aspartate  ; Dextroamphetamine saccharate  ; Injectable Solution;;;;;;;;;;;;;;;;;;;;;
Amphetamine aspartate  ; Dextroamphetamine saccharate  ; Injectable Solution ;;;;;;;;;;;;;;;;;;;;;
Amphetamine aspartate  ; Dextroamphetamine saccharate  ; Glucose ;; Glycine ; Histidine ;;;;;;;;;;;;;;;;;;
Ammonium Chloride  ; Ipecac  ; Lysine ;; Phenylalanine ; Proline ;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Lysine ;; Phenylalanine ; Phosphoric acid ;;;;;;;;;;;;;;;;;;
Acetic Acid  ; Benzocaine  ; Lysine ;; Methionine ; Phenylalanine ;;;;;;;;;;;;;;;;;;
alloin  ; Ergot preparation  ; Leucine ;; Methionine ; Phenylalanine ;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; calcium acetate  MEQ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ;;;;;;;;;;;;;;;;;;;;;;
