Preferred Label;Synonyms;Definitions
-ssRNA virus infectious disease;Negative Stranded ssRNA Virus infectious disease|negative-sense ssRNA virus infection|-ssRNA virus infection|negative-sense single stranded RNA virus infectious disease|negative-sense ssRNA virus infectious disease;A RNA virus infectious disease that results_in infection, has_material_basis_in ssRNA negative-strand viruses, which have negative-sense single-stranded RNA genomes.
ssRNA virus infectious disease;positive-sense ssRNA virus infectious disease|ssRNA virus infection|positive-sense single stranded RNA virus infectious disease|Positive Stranded ssRNA Virus infectious disease|positive-sense ssRNA virus infection;A RNA virus infectious disease that results_in infection, has_material_basis_in ssRNA positive-strand viruses, no DNA stage, which possess positive-sense single-stranded RNA genomes.
-hydroxyglutaric aciduria;;An amino acid metabolic disorder that is an autosomal recessive neurometabolic disorder characterized by the significant elevation of urinary levels of hydroxyglutaric acid causing progressive brain damage.
-M syndrome;Le Merrer syndrome|Miller-McKusick-Malvaux syndrome|three M syndrome|dolichospondylic dysplasia|Yakut short stature syndrome|gloomy face syndrome;An autosomal recessive disease characterized by dwarfism, facial dysmorphia and skeletal abnormalities.|NT MGI.
MC syndrome;oculopalatoskeletal syndrome |craniofacial-ulnar-renal syndrome;A syndrome characterized by blepharophimosis, blepharoptosis, highly arched eyebrows hypertelorism, cleft lip and palate, postnatal growth deficiency, cognitive impairment, hearing loss and, in a smaller percentage of cases, craniosynostosis, radioulnar synostosis and genital and vesicorenal anomalies. It encompasses four disorders that were previously designated the Malpuech, Michels, Mingarelli and Carnevale syndromes.|Xref MGI.
MC syndrome ;;A 3MC syndrome that has_material_basis_in homozygous mutation in the MASP1 gene on chromosome 3q27.
MC syndrome ;;A 3MC syndrome that has_material_basis_in homozygous mutation in the COLEC11 gene on chromosome 2p25.
MC syndrome ;;A 3MC syndrome that has_material_basis_in a compound heterozygous mutation in the COLEC10 gene on chromosome 8q24.
-Methylcrotonyl-CoA carboxylase deficiency;3-Methylcrotonylglycinuria|BMCC deficiency|3MCC deficiency;An amino acid metabolic disorder that has_material_basis_in mutations in the MCCC1 and MCCC2 genes causing inadequate levels of the enzyme 3-methylcrotonyl-CoA carboxylase that helps break down proteins containing the amino acid leucine. This disease has_symptom muscular hypotonia (weak muscle tone), has_symptom muscular atrophy, has_symptom feeding difficulties, has_symptom recurrent episodes of vomiting and diarrhea, and has_symptom lethargy.
-methylglutaconic aciduria;;An organic acidemia that is characterized by elevated levels of 3-methylglutaconic acid and 3-methylglutaric acid in the urine.
-methylglutaconic aciduria type ;3-methylglutaconic aciduria type I|MGA type I|3MG-CoA hydratase deficiency|MGA1|3-methylglutaconyl-CoA hydratase deficiency;A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the AUH gene on chromosome 9q22.
-methylglutaconic aciduria type ;Iraqi-Jewish optic atrophy plus|MGA3|infantile optic atrophy with chorea and spastic paraplegia|autosomal recessive optic atrophy type 3|3-methylglutaconic aciduria type III|autosomal recessive optic atrophy plus syndrome|Costeff optic atrophy syndrome|Costeff syndrome;A 3-methylglutaconic aciduria that has_material_basis_in mutation in the OPA3 gene.
-methylglutaconic aciduria type ;MGA4|3-methylglutaconic aciduria type IV|MGCA4|MGA type IV;A 3-methylglutaconic aciduria that is characterized by mild or intermittent urinary excretion of 3-methylglutaconic acid.
-methylglutaconic aciduria type ;MGCA5|3-methylglutaconic aciduria type V|DCMA|DCMA syndrome|dilated cardiomyopathy with ataxia|MGA5;A 3-methylglutaconic aciduria that has_material_basis_in homozygous mutation in the DNAJC19 gene on chromosome 3q26.
-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia;MGCA7|MEGCANN|3-methylglutaconic aciduria type VII|3-methylglutaconic aciduria type 7|MGA7;A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the CLPB gene on chromosome 11q13.
-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome;MGCA6|MEGDEL syndrome|3-methylglutaconic aciduria type 6|MEGDEL;A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the SERAC1 gene on chromosome 6q25.
p- syndrome;chromosome 3pter-P25 deletion syndrome|distal monosomy 3p;
 XX gonadal dysgenesis;;A gonadal dysgenesis that is characterized by the lack of functional ovaries to induce puberty in an otherwise 46,XX female.|OMIM mapping confirmed by DO. [LS].
 XY gonadal dysgenesis;Pure gonadal dysgenesis 46,XY|46,XY SEX REVERSAL|Swyer syndrome;A gonadal dysgenesis that is characterized by a normal 46,XY karyotype along with a progressive loss of germ cells on the developing gonads of an embryo.|The term 46,XY DSD has replaced the following terms Male pseudohermaphrodite, Undervirilization of an XY male, Undermasculinization of an XY male, Mixed gonadal dysgenesis, Partial gonadal dysgenesis.
 XY gonadal dysgenesis;;DOID:14448
Aagenaes syndrome;Cholestasis-edema syndrome, Norwegian type disorder;A syndrome that is characterized by congenital hypoplasia of lymph vessels, which causes lymphedema of the legs and recurrent cholestasis in infancy, and slow progress to hepatic cirrhosis and giant cell hepatitis with fibrosis of the portal tracts.|OMIM mapping confirmed by DO. [SN].
Aarskog syndrome;faciogenital dysplasia|Greig's syndrome|Aarskog-Scott syndrome;A monogenic disease affects a person's height, muscles, skeleton, genitals, and appearance of the face.|OMIM mapping confirmed by DO. [SN].
ABCD syndrome;albinism, block lock, cell migration disorder of the neurocytes of the gut, and deafness;An autosomal recessive disease that is characterized by albinism, black lock, cell migration disorder of the neurocytes of the gut and sensorineural deafness and has_material_basis_in a mutation in the endothelin B receptor gene (EDNRB).|OMIM mapping confirmed by DO. [SN].
abdominal actinomycosis;;An actinomycosis that involves invasion and infiltration located_in large intestine, located_in greater omentum, or located_in abdominal wall, has_material_basis_in Actinomyces israelii, has_material_basis_in Actinomyces naeslundii, has_material_basis_in Actinomyces odontolyticus, has_material_basis_in Actinomyces viscosus or has_material_basis_in Actinomyces meyeri, which produce a characteristic granulomatous inflammatory response, with pus production and has_symptom abscess formation.
abdominal aortic aneurysm;AORTIC ANEURYSM, FAMILIAL ABDOMINAL 1;An aortic aneurysm that is located_in the abdominal aorta.
abdominal cancer;abdomen neoplasm;A cancer by anatomical entitiy that affects the organs in the abdominal cavity.
abdominal obesity-metabolic syndrome;;
abdominal obesity-metabolic syndrome ;;An abdominal obesity-metabolic syndrome that has_material_basis_in heterozygous mutation in the DYRK1B gene on chromosome 19q13.
abdominal tuberculosis;;An extrapulmonary tuberculosis that is located_in gastrointestinal tract, located_in peritoneum, located_in omentum, located_in mesentery, located_in liver, located_in spleen or located_in pancreas.
abducens nerve disease;Abducens nerve disorder|Lateral rectus muscle denervation paresis|VIth nerve Paralysis|Sixth or abducens nerve palsy|VIth nerve disorder|Sixth cranial nerve disorder, NOS|disorder of abducent nerve|Sixth nerve palsy disorder|Lateral rectus muscle innervation disorder|Abducens nerve weakness;
abducens nerve neoplasm;VIth Cranial nerve tumors|neoplasm of abducens nerve disorder;
abetalipoproteinemia;microsomal triglyceride transfer protein deficiency disease|familial hypobetalipoproteinemia;A hypolipoproteinemia that is characterized by an inablility to fully absorb dietary fats, cholesterol and fat-soluble vitamins, has_physical_basis_in an autosomal recessive disorder of lipid metabolism that has material basis in mutation in the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES
