Preferred Label;Synonyms
pathogen;
enterotoxin;
antibacterial;antibiotic
 obsolete resistance;
Homo sapiens;
 obsolete biological object colony;
infectious agent colony;
colonization of human perineum;
negative regulation of life-sustaining process;
 obsolete extrinsic incubation period;
infectious agent;
collective pathogenic disposition;
fomite role;
chronic infection;persistent infection
infectious human pathogen;
mutualism;
potential host of infectious agent;
immunocompetent organism;
 obsolete transport by blood;
 obsolete vaccination;
infection incidence;
infectious disease endemic level;
infectious disease epidemic;infectious disease outbreak
 obsolete colonization factor;
immunosuppressed organism experiencing infection-based immunosuppression;
 obsolete prevention of infection;
 obsolete pandemic spread of disease;
information content entity;
susceptibility;
 obsolete chronic quality of infection;persistent infection
immunosuppressed organism;
diseased population;
passive immunization against infectious agent;
 obsolete membrane invagination;
 obsolete nonspecific adherence;
contagiousness;
drug susceptibility;
immunosuppressed human experiencing HIV-based immunosuppression;
resistance to drug;drug resistance
primary infection role;
infectious disease incidence proportion;cumulative incidence of infectious disease
infectious disease endemic rate;
 obsolete contagious;
 obsolete prevalence;
 obsolete adhesion factor;
 obsolete infectious agent;
 obsolete afimbrial specific adherence;
susceptibility to infectious agent;
infectious disease incidence;
immunosuppressed organism experiencing HIV-based immunosuppression;
leukocyte;
 obsolete fitness;
 obsolete oral-fecal transmission;
infectious agent population;
continuant fiat boundary;
 obsolete dependovirus;
 obsolete specific adherence;
obsolete dependent continuant;
independent continuant;
process;
one-dimensional spatial region;
acquired immunodeficiency;
establishment of a clinically abnormal colony;
one-dimensional temporal region;
biological regulation;
data about an ontology part;
object aggregate;
disposition;
hospital-acquired infection;nosocomial infection
bacteremia;
 obsolete factor;
infectious agent portal of entry;
viricide;
 obsolete quality of host population;
 obsolete refractoriness;
endotoxin;
microbicide;microbicidal [entity]
 obsolete invasin;
mutualist role;
 obsolete modulation of inflammatory response;
immunodeficiency;
symptom;
host exposure to environment containing infectious agent;
infectious agent carrier;
infection;
symptomatic host of infectious agent;
secondary infection role;
resistance to infectious agent;
infection incidence proportion;cumulative incidence of infection
infectious disease hyper-endemicity;
reservoir of infectious agent role;
establishment of localization;
 obsolete infected;
 obsolete attenuated;
 obsolete immunosuppressed;
 obsolete viral latency;
process profile;
parasite host role;
infected organism;
complex infection;mixed infection|polymicrobial infection
commensal role;
chronic systemic steroid use-based immunosuppression;
 obsolete zoonotic;
 obsolete endemic;
 obsolete infectivity period;
virulence factor disposition;
infectious disease;tranmissible disease
herd immunity to infectious organism;
communicability;
dead-end host role;incidental host role
drug susceptibility of infectious agent;
 obsolete morbidity;
 obsolete endotoxin;
 obsolete live;
 obsolete engulfment by nonphagocyte;
object;
process that results in death;
 obsolete host;
 obsolete opportunistic pathogen;
 obsolete latency;
 obsolete toxin;
material entity;
Eukaryota;
horizontal pathogen transmission process;
parasitic disposition;
realizable entity;
three-dimensional spatial region;
Viruses;
spatial region;
FtsZ-dependent cytokinesis;
 obsolete horizontal transmission;
host exposure to infectious agent;
candidiasis;
adhesion factor;adhesin|adhesion molecule
zoonosis;
DbXref;
 obsolete incubation period;
 obsolete seroprevalence;
 obsolete outbreak;
 obsolete phase variation;
data item;
endotoxin disposition;
virion;
life-death temporal boundary;
communicability period;
host;
biological vector of infectious agent;
 obsolete transmission;
 obsolete pathogen-induced apoptosis;
entry into host through host barriers;
infection prevalence;
immunization against infectious agent;
 obsolete septicemia;
relational quality;
entry into host;
parasite role;
primary pathogen;principal pathogen
mechanical vector of infectious agent;
T cell receptor complex;
vehicle of infectious agent;
definitive host;primary host
 obsolete pathogenesis;
 obsolete pathogen-induced necrosis;
reproduction;
active immunization against infectious agent;inoculation
obsolescence reason specification;
infectious disease lifetime prevalence;
incubation period;
 obsolete role;
leukocyte mediated immunity;
two-dimensional continuant fiat boundary;
function;
 obsolete immunity;
 obsolete exogenous;
 obsolete process;
infectious agent host role;
establishment of localization in host;
pathologic immunosuppression;
host coming into contact with vector of infectious agent;
negative regulation of viral process;
B cell receptor complex;
 obsolete infectious disease progression;
antibiotic resistance;
 obsolete pathogen life cycle stage;
 obsolete contagiousness quality;
source of infection role;
trichomoniasis;
 obsolete exotoxin;
immune response;
 obsolete quality of host;
curation status specification;
host exposure to substance that might have infectious agent;
 obsolete biological object;
commensal;
 obsolete infectious disease course;
 obsolete infectious disease progression stage;
biological vector of infectious agent role;
sepsis;
leptospirosis;
antiviral;
long-term non-progressor;
transmission period;
 obsolete complement resistance;
 obsolete infection treatment process;
reverse zoonotic disposition;
 obsolete therapeutic;
antimicrobial;
 obsolete dormancy;
asymptomatic host of infectious agent;
primary infectious disposition;
immune population;
zoonotic disposition;
infectivity;
local infection;
infection-based immunosuppression;
immunosuppressed human experiencing drug-based immunosuppression due to organ transplant;
 obsolete infection;
 obsolete genetic diversification;
 obsolete parasite;
 obsolete drug resistance;
 obsolete penetration of host cell;
leukocyte-mediated immunity to infectious agent;cell-mediated immunity to infectious agent
 obsolete disruption of body surface;
infectious agent seroprevalence;
vaccination against infectious agent;
collective disposition;
virulence;
infectious agent portal of exit role;
antibacterial disposition;antibiotic disposition
 obsolete incidence;
 obsolete inactivated;
 obsolete swollen;
 obsolete vaccine;
 obsolete vector;
